RID,SID,text,polarity,category
1000,1000:0,Manzara sahane evet ama servis rezalet.,positive,AMBIENCE#GENERAL
1000,1000:1,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",negative,SERVICE#GENERAL
1000,1000:2,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",negative,RESTAURANT#GENERAL
1000,1000:3,bu servise bu fiyatlar ise cok faZla.,positive,FOOD#QUALITY
1000,1000:4,Lacivert beni kalitesinin dusukluguyle cok sasirtti,negative,FOOD#STYLE_OPTIONS
1000,NULL,NULL,negative,RESTAURANT#PRICES
1001,1001:0,Nerden baslasam bilemedim.,negative,RESTAURANT#GENERAL
1001,1001:1,Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,negative,FOOD#QUALITY
1001,1001:2,Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,negative,SERVICE#GENERAL
1001,1001:3,ayrica gelen kalamar soguk ve sünger gibiydi.,NULL,NULL
1001,1001:4,uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,NULL,NULL
1001,1001:5,Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,NULL,NULL
1002,1002:0,Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,negative,RESTAURANT#PRICES
1002,1002:1,Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,negative,RESTAURANT#GENERAL
1002,1002:2,Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,negative,FOOD#QUALITY
1002,1002:3,1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,NULL,NULL
1003,1003:0,"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",neutral,RESTAURANT#GENERAL
1003,1003:1,garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,negative,AMBIENCE#GENERAL
1003,1003:2,lokumun daha iyisini yedim küşleme güzeldi.,positive,FOOD#QUALITY
1003,1003:3,şazeli salata yani...,negative,SERVICE#GENERAL
1003,1003:4,bilemedim mekana daha sonra belki bir şans daha verebilirim.,NULL,NULL
1004,1004:0,2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,negative,DRINKS#PRICES
1004,1004:1,) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,positive,RESTAURANT#GENERAL
1005,1005:0,Şatobiryanı öneririm.,positive,RESTAURANT#GENERAL
1005,1005:1,Sosu tereyagli ve yumusak .,positive,AMBIENCE#GENERAL
1005,1005:2,Sert et sevmeyenler icin cok lezzetliydi.,positive,FOOD#QUALITY
1005,1005:3,Guvecte yogurt ve salatayla iyi bir uclu oldu.,positive,SERVICE#GENERAL
1005,1005:4,Servisi hizli valesi var.,NULL,NULL
1005,1005:5,Acik mekanda ise gardenya bolumu guzel.,NULL,NULL
1005,1005:6,Kalabalik icin ideal.,NULL,NULL
1005,1005:7,Yaninda cafe ve nargile bolumu var.,NULL,NULL
1006,1006:0,"Cok fazla cesit var,insanin kafasi karışıyor dogrusu.",positive,DRINKS#QUALITY
1006,1006:1,Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,neutral,FOOD#QUALITY
1006,1006:2,Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,positive,AMBIENCE#GENERAL
1006,1006:3,"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",NULL,NULL
1007,1007:0,Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,positive,RESTAURANT#GENERAL
1007,1007:1,Lezzet değişiyor...,NULL,NULL
1007,1007:2,Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,NULL,NULL
1008,1008:0,Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,positive,FOOD#QUALITY
1008,1008:1,Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim.,positive,FOOD#STYLE_OPTIONS
1008,1008:2,"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",NULL,NULL
1008,1008:3,Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,NULL,NULL
1008,1008:4,"Yanında turşu, cacık veya yoğurtla harika oluyor.",NULL,NULL
1008,1008:5,"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",NULL,NULL
1008,1008:6,Finali sütlaçla yapmanızı tavsiye ediyorum.,NULL,NULL
1008,1008:7,Sütlacı da enfes.,NULL,NULL
1009,1009:0,"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",positive,FOOD#QUALITY
1009,1009:1,Atıştırmalık Jumbo Combo pek yummy!,neutral,SERVICE#GENERAL
1010,1010:0,Deniz ürünleri çok başarılı.,positive,AMBIENCE#GENERAL
1010,1010:1,Manzarası zaten mükemmel.,positive,FOOD#QUALITY
1010,1010:2,"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",NULL,NULL
1010,1010:3,Onun dışında pek öğrenci mekanı değil.,NULL,NULL
1010,1010:4,"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",NULL,NULL
1011,1011:0,"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",negative,FOOD#PRICES
1011,1011:1,"Çalan müzik tam kıvamında, rahatsız etmiyor.",positive,AMBIENCE#GENERAL
1011,1011:2,"Yemekleri çok lezzetli, manzara mükemmel.",positive,FOOD#QUALITY
1011,1011:3,"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",NULL,NULL
1012,1012:0,Kalabalik zamanlarda servis fazlasiyla aksiyor.,negative,AMBIENCE#GENERAL
1012,1012:1,"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",negative,SERVICE#GENERAL
1012,1012:2,Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,NULL,NULL
1013,1013:0,"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",positive,AMBIENCE#GENERAL
1013,1013:1,İçinizi serinletecek enfes bir tat.,positive,FOOD#QUALITY
1014,1014:0,Garsonlar suratsiz.,negative,FOOD#STYLE_OPTIONS
1014,1014:1,Bu kadar methedilmeyi hakketmiyor.,negative,RESTAURANT#GENERAL
1014,1014:2,Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,negative,SERVICE#GENERAL
1014,1014:3,Açiklama:,NULL,NULL
1014,1014:4,kasarla köfte yoguruluyormus.,NULL,NULL
1014,1014:5,Isletme sahibi kaba.,NULL,NULL
1014,1014:6,Bizim kasarli köfte tanimimiz böyle diyor sadece!,NULL,NULL
1014,1014:7,Müsteri memnuniyeti sifir!,NULL,NULL
1015,1015:0,"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",positive,LOCATION#GENERAL
1015,1015:1,O zaman keşke başlangıçlarda menüde yer almasa!,positive,RESTAURANT#GENERAL
1015,1015:2,Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,positive,FOOD#QUALITY
1015,1015:3,İlk defa bir şubesine gidip oturup yemek yedim.,positive,FOOD#STYLE_OPTIONS
1015,1015:4,"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",NULL,NULL
1015,1015:5,Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,NULL,NULL
1015,1015:6,Evet suçluyum!,NULL,NULL
1015,1015:7,Tek ayak üstünde köşeme çekiliyorum!,NULL,NULL
1015,1015:8,Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,NULL,NULL
1015,1015:9,"Malzemesi bol, porsiyonu tam kıvamındaydı.",NULL,NULL
1015,1015:10,"Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.",NULL,NULL
1016,1016:0,Beşiktaş'ın göbeğinde.,negative,SERVICE#GENERAL
1016,1016:1,"Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri.",conflict,FOOD#QUALITY
1016,1016:2,Ve deneyim maalesef çok da olumlu olmadı.,negative,RESTAURANT#GENERAL
1016,1016:3,"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",negative,FOOD#STYLE_OPTIONS
1016,1016:4,"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",positive,RESTAURANT#PRICES
1016,1016:5,"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",positive,LOCATION#GENERAL
1016,1016:6,"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",NULL,NULL
1017,1017:0,Servis:,negative,FOOD#PRICES
1017,1017:1,4 Fiyat:,positive,FOOD#QUALITY
1017,1017:2,5 Mekan:,negative,SERVICE#GENERAL
1017,1017:3,8 Lezzet:,NULL,NULL
1017,1017:4,"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",NULL,NULL
1018,1018:0,Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,positive,RESTAURANT#GENERAL
1018,1018:1,Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,positive,AMBIENCE#GENERAL
1018,NULL,NULL,positive,FOOD#QUALITY
1018,NULL,NULL,positive,FOOD#STYLE_OPTIONS
1019,1019:0,Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,positive,FOOD#QUALITY
1019,1019:1,"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",NULL,NULL
1020,1020:0,Burada caylar harika!,positive,DRINKS#STYLE_OPTIONS
1020,1020:1,Bourbon Vanilla 34 numarali cay.,positive,DRINKS#QUALITY
