RID,SID,text,polarity,category,target
1000,1000:0,Manzara sahane evet ama servis rezalet.,negative,SERVICE#GENERAL,servis
1000,1000:0,Manzara sahane evet ama servis rezalet.,positive,AMBIENCE#GENERAL,Manzara
1000,1000:1,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",negative,FOOD#STYLE_OPTIONS,mezenin
1000,1000:1,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",negative,SERVICE#GENERAL,garson
1000,1000:2,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",positive,FOOD#QUALITY,lezzetler
1000,1000:2,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",positive,FOOD#QUALITY,Yemekler
1000,1000:2,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",neutral,FOOD#QUALITY,NULL
1000,1000:3,bu servise bu fiyatlar ise cok faZla.,negative,RESTAURANT#PRICES,fiyatlar
1000,1000:4,Lacivert beni kalitesinin dusukluguyle cok sasirtti,negative,RESTAURANT#GENERAL,kalitesinin
1001,1001:1,Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,negative,FOOD#QUALITY,balik
1001,1001:2,Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,negative,SERVICE#GENERAL,balik geldi
1001,1001:3,ayrica gelen kalamar soguk ve sünger gibiydi.,negative,FOOD#QUALITY,kalamar
